Price,Open,Close,High,Volume
Ticker,MRK,MRK,MRK,MRK
Date,,,,
2020-06-10,66.8,66.26,67.07,9080920.0
2020-06-09,67.41,66.65,67.67,8846168.0
2020-06-08,65.75,67.17,67.41,9956838.0
2020-06-05,66.53,66.65,67.36,10413347.0
2020-06-04,65.85,66.08,66.57,9292930.0
2020-06-03,65.63,66.49,66.73,13675457.0
2020-06-02,64.45,65.5,65.52,11352984.0
2020-06-01,64.97,64.46,65.19,6269241.0
2020-05-29,64.38,65.4,65.58,13517104.0
2020-05-28,63.69,64.04,65.06,13180906.0
2020-05-27,62.39,62.84,62.91,12828987.0
2020-05-26,63.41,62.6,63.69,19146017.0
2020-05-22,61.72,61.88,62.11,6357482.0
2020-05-21,62.2,62.03,62.41,9000329.0
2020-05-20,63.23,62.3,63.4,11027685.0
2020-05-19,64.39,62.84,64.6,10591822.0
2020-05-18,65.63,64.59,65.63,12552630.0
2020-05-15,64.91,64.64,65.27,9367234.0
2020-05-14,62.62,64.86,64.93,11407585.0
2020-05-13,62.11,63.11,63.85,10935146.0
2020-05-12,63.32,62.54,63.77,9544660.0
2020-05-11,61.6,63.13,63.26,10622528.0
2020-05-08,61.99,61.9,62.36,8791672.0
2020-05-07,62.39,61.26,62.49,12602410.0
2020-05-06,63.48,62.49,63.72,12414922.0
2020-05-05,62.59,63.21,63.85,7401395.0
2020-05-04,63.22,62.28,63.23,8850255.0
2020-05-01,63.9,62.93,63.9,9518565.0
2020-04-30,64.68,64.29,65.15,11638878.0
2020-04-29,66.6,65.45,66.6,13687194.0
2020-04-28,65.78,65.78,66.63,20273560.0
2020-04-27,65.82,68.05,68.61,12786753.0
2020-04-24,66.12,65.98,66.52,7686451.0
2020-04-23,64.98,65.53,66.34,8152497.0
2020-04-22,64.17,64.81,65.35,11933890.0
2020-04-21,66.13,63.65,66.69,17876574.0
2020-04-20,67.11,67.33,68.17,11675768.0
2020-04-17,68.02,67.63,68.19,15433162.0
2020-04-16,66.97,67.25,67.52,9145058.0
2020-04-15,65.82,66.5,67.22,10809072.0
2020-04-14,66.71,67.12,67.41,12155333.0
2020-04-13,66.3,65.26,66.82,7706678.0
2020-04-09,65.77,66.84,67.49,13876568.0
2020-04-08,64.16,66.13,67.25,11481888.0
2020-04-07,66.18,63.65,66.42,10657950.0
2020-04-06,63.47,65.07,65.51,14314108.0
2020-04-03,61.81,61.78,62.75,10039211.0
2020-04-02,61.56,62.29,62.49,12843345.0
2020-04-01,60.49,59.8,61.15,11665288.0
2020-03-31,61.78,62.34,62.88,15079672.0
2020-03-30,59.65,62.35,62.87,15803316.0
2020-03-27,58.18,58.12,59.5,12467218.0
2020-03-26,55.21,59.58,60.11,18052848.0
2020-03-25,55.43,55.28,57.03,18311494.0
2020-03-24,55.9,55.95,56.52,19901939.0
2020-03-23,56.94,53.8,58.02,18375003.0
2020-03-20,56.35,57.82,58.74,23075912.0
2020-03-19,57.81,57.31,59.04,19268738.0
2020-03-18,57.89,58.04,60.49,18558508.0
2020-03-17,58.06,60.35,61.64,24745795.0
2020-03-16,57.34,56.65,61.65,20808354.0
2020-03-13,61.76,62.19,62.58,25857094.0
2020-03-12,59.79,59.83,62.73,22664782.0
2020-03-11,64.15,63.69,64.42,14274179.0
2020-03-10,64.68,65.91,66.04,17527486.0
