Price,Open,Close,High,Volume
Ticker,MS,MS,MS,MS
Date,,,,
2020-06-10,42.3,41.16,42.69,14770900.0
2020-06-09,41.19,42.61,42.85,15090400.0
2020-06-08,42.71,42.4,42.85,12150300.0
2020-06-05,43.37,41.87,43.83,17976100.0
2020-06-04,39.49,41.16,41.21,15279600.0
2020-06-03,39.72,39.66,40.15,11253500.0
2020-06-02,38.19,38.53,39.11,11179200.0
2020-06-01,37.64,37.79,38.1,8649500.0
2020-05-29,37.21,37.37,37.87,13102100.0
2020-05-28,39.95,37.54,40.0,17615900.0
2020-05-27,38.7,39.62,39.67,25892400.0
2020-05-26,35.4,36.94,37.02,19709900.0
2020-05-22,34.01,33.93,34.27,6468900.0
2020-05-21,34.47,34.07,34.6,9654200.0
2020-05-20,33.87,34.71,34.87,12031600.0
2020-05-19,33.9,33.25,34.28,8895500.0
2020-05-18,32.9,34.05,34.36,14722400.0
2020-05-15,31.5,31.52,31.96,9175800.0
2020-05-14,30.65,31.96,32.1,14986600.0
2020-05-13,32.25,31.27,32.36,11565900.0
2020-05-12,33.79,32.48,33.87,13605600.0
2020-05-11,33.29,33.67,33.87,10106400.0
2020-05-08,33.4,33.88,33.96,12096400.0
2020-05-07,31.92,32.81,33.09,9348900.0
2020-05-06,32.52,31.53,32.66,7817800.0
2020-05-05,32.95,32.11,33.23,8951200.0
2020-05-04,32.12,32.2,32.31,13985100.0
2020-05-01,32.42,32.46,32.73,12806200.0
2020-04-30,33.73,33.33,33.91,13431700.0
2020-04-29,34.75,34.48,34.97,15880400.0
2020-04-28,34.0,33.63,34.68,12778400.0
2020-04-27,32.38,32.94,33.14,11619400.0
2020-04-24,31.82,31.82,32.0,8567500.0
2020-04-23,31.93,31.4,32.17,8694800.0
2020-04-22,31.73,31.68,31.99,10449000.0
2020-04-21,31.26,30.96,31.96,14134900.0
2020-04-20,32.0,32.15,33.13,16573800.0
2020-04-17,33.14,32.76,33.6,25074500.0
2020-04-16,31.73,32.15,32.53,27913000.0
2020-04-15,32.02,32.18,33.03,15590100.0
2020-04-14,33.95,33.4,34.17,14471900.0
2020-04-13,34.26,33.17,34.36,13369900.0
2020-04-09,33.74,34.43,35.07,21902200.0
2020-04-08,31.6,32.99,33.34,15376700.0
2020-04-07,33.24,30.96,33.24,19536700.0
2020-04-06,30.11,31.01,31.42,18788700.0
2020-04-03,28.12,28.37,28.74,16926500.0
2020-04-02,26.26,28.41,28.49,21656000.0
2020-04-01,26.55,26.5,27.16,23755100.0
2020-03-31,28.94,28.49,29.57,17122600.0
2020-03-30,28.1,29.2,29.61,18046400.0
2020-03-27,28.19,28.5,29.1,33375400.0
2020-03-26,28.32,29.92,30.88,26422500.0
2020-03-25,28.41,28.48,29.73,27198500.0
2020-03-24,25.21,27.84,27.97,25905500.0
2020-03-23,24.43,23.3,24.96,26401000.0
2020-03-20,26.19,24.86,26.35,27472500.0
2020-03-19,25.43,25.91,27.57,23929600.0
2020-03-18,26.26,25.77,27.52,27603000.0
2020-03-17,27.13,28.32,29.43,27047400.0
2020-03-16,26.04,26.52,29.56,26789900.0
2020-03-13,28.72,31.42,31.44,33305100.0
2020-03-12,28.42,26.24,29.25,27964600.0
2020-03-11,32.04,30.9,32.56,27376200.0
2020-03-10,33.36,33.1,33.51,27111000.0
2020-03-09,30.88,31.42,32.7,28177500.0
2020-03-06,33.95,35.06,35.4,30898400.0
2020-03-05,36.46,35.69,36.82,23950200.0
2020-03-04,37.84,37.91,37.98,21938100.0
2020-03-03,38.86,37.21,39.32,30206600.0
2020-03-02,37.8,38.95,38.95,23234100.0
2020-02-28,36.76,37.74,38.17,36978800.0
2020-02-27,38.33,38.05,39.56,26815200.0
2020-02-26,40.41,39.59,40.69,22286100.0
2020-02-25,41.88,40.25,42.03,25568400.0
2020-02-24,42.16,41.63,42.31,28670400.0
2020-02-21,44.83,43.93,44.91,29536400.0
2020-02-20,45.25,45.04,46.52,58533500.0
2020-02-19,46.81,47.19,47.29,6075300.0
