Price,Open,Close,High,Volume
Ticker,MU,MU,MU,MU
Date,,,,
2020-06-09,51.42,51.91,52.25,17840800.0
2020-06-08,53.23,52.44,53.36,22850600.0
2020-06-05,51.43,52.46,53.54,34110700.0
2020-06-04,47.72,50.02,50.76,34830800.0
2020-06-03,46.92,47.78,48.26,34662100.0
2020-06-02,45.4,45.72,45.75,23035600.0
2020-06-01,46.38,45.26,46.55,21809100.0
2020-05-29,45.53,46.79,46.9,26337000.0
2020-05-28,47.56,45.38,47.65,38289300.0
2020-05-27,44.87,48.29,48.42,56071500.0
2020-05-26,45.14,44.73,45.6,24303900.0
2020-05-22,44.09,43.89,44.25,13385400.0
2020-05-21,45.41,44.16,45.48,17445300.0
2020-05-20,45.42,45.55,45.94,17876500.0
2020-05-19,44.71,44.06,45.15,17389500.0
2020-05-18,44.76,44.85,45.07,20307800.0
2020-05-15,42.27,43.37,43.73,28803900.0
2020-05-14,42.05,44.66,44.71,27543500.0
2020-05-13,44.8,42.51,44.81,35117500.0
2020-05-12,47.38,44.62,47.42,26738900.0
2020-05-11,46.62,47.07,47.59,17353500.0
2020-05-08,46.18,47.12,47.33,17437100.0
2020-05-07,46.02,45.5,46.39,16372100.0
2020-05-06,44.99,45.0,46.02,22011900.0
2020-05-05,44.39,44.35,45.85,21007500.0
2020-05-04,43.16,43.42,43.64,21377100.0
2020-05-01,45.27,44.01,45.82,28194000.0
2020-04-30,48.32,46.77,48.42,28585400.0
2020-04-29,45.49,48.66,48.97,35743000.0
2020-04-28,45.13,44.25,46.57,25234900.0
2020-04-27,43.95,44.22,44.33,16667200.0
2020-04-24,42.77,43.13,43.28,16581800.0
2020-04-23,42.79,42.75,43.67,22273100.0
2020-04-22,42.1,42.88,43.17,21346600.0
2020-04-21,41.99,40.44,42.06,32482200.0
2020-04-20,43.48,42.38,44.02,30463300.0
2020-04-17,45.69,44.63,45.79,23388300.0
2020-04-16,45.92,44.46,46.1,26589000.0
2020-04-15,45.31,45.34,45.57,22389400.0
2020-04-14,45.9,46.51,47.25,25738000.0
2020-04-13,43.85,45.09,45.3,30449900.0
2020-04-09,48.15,45.05,48.64,39799400.0
2020-04-08,45.98,47.16,47.55,27694400.0
2020-04-07,46.96,45.45,47.24,34646400.0
2020-04-06,42.34,45.28,45.6,37899100.0
2020-04-03,40.01,40.25,40.88,28522400.0
2020-04-02,38.86,40.13,40.62,31457700.0
2020-04-01,39.6,38.96,41.31,37452800.0
2020-03-31,43.36,41.08,44.11,36723700.0
2020-03-30,43.14,43.48,44.5,33763900.0
2020-03-27,42.24,42.46,44.22,39791500.0
2020-03-26,43.85,43.74,44.68,62450700.0
2020-03-25,42.88,41.5,43.83,54091000.0
2020-03-24,40.84,42.26,43.38,45588000.0
2020-03-23,36.12,37.35,38.55,45286000.0
2020-03-20,36.89,35.26,37.69,37667400.0
2020-03-19,33.85,35.44,36.43,31015200.0
2020-03-18,33.46,33.88,35.7,36519000.0
2020-03-17,34.66,36.5,38.21,34869000.0
2020-03-16,36.47,33.66,38.22,36879100.0
2020-03-13,40.6,41.98,42.01,35264800.0
2020-03-12,38.48,37.9,41.54,40117200.0
2020-03-11,45.12,42.7,45.24,38483800.0
2020-03-10,47.02,46.74,47.13,31652900.0
2020-03-09,44.42,44.89,47.46,31260800.0
2020-03-06,50.98,50.27,51.95,30313700.0
2020-03-05,52.2,52.46,54.31,26223000.0
2020-03-04,51.78,54.0,54.08,28222000.0
2020-03-03,53.32,50.59,54.1,36893200.0
2020-03-02,51.96,53.31,53.41,33272700.0
2020-02-28,47.51,51.33,51.68,40121300.0
2020-02-27,49.45,49.4,51.61,36349200.0
2020-02-26,51.42,51.14,53.0,28075600.0
2020-02-25,53.56,50.88,54.15,41894200.0
2020-02-24,52.06,53.72,54.16,33321100.0
2020-02-21,57.26,55.66,57.36,27038900.0
2020-02-20,58.48,57.62,58.59,20797100.0
2020-02-19,57.21,58.59,58.84,23335500.0
