Price,Open,Close,High,Volume
Ticker,QQQ,QQQ,QQQ,QQQ
Date,,,,
2020-06-09,233.28,235.84,236.69,35046300.0
2020-06-08,232.2,234.14,234.27,32937300.0
2020-06-05,228.98,232.34,232.93,47365600.0
2020-06-04,229.08,227.82,230.5,38716100.0
2020-06-03,229.02,229.43,230.19,37228700.0
2020-06-02,227.31,228.41,228.46,33383400.0
2020-06-01,225.33,226.88,227.26,25776000.0
2020-05-29,223.32,226.2,226.44,50691800.0
2020-05-28,222.08,222.94,226.31,42784300.0
2020-05-27,221.68,223.23,223.35,55665600.0
2020-05-26,226.2,222.02,226.41,33055300.0
2020-05-22,221.45,222.62,222.82,28762400.0
2020-05-21,224.34,221.85,225.02,43642900.0
2020-05-20,222.46,224.29,224.65,37417000.0
2020-05-19,220.72,219.9,222.8,36237300.0
2020-05-18,219.34,220.46,221.67,42398100.0
2020-05-15,212.07,216.42,216.48,55747200.0
2020-05-14,211.29,215.03,215.07,51549300.0
2020-05-13,215.83,212.61,217.72,65521200.0
2020-05-12,220.51,215.31,221.11,41054100.0
2020-05-11,216.64,219.91,220.94,35714100.0
2020-05-08,216.7,217.97,218.1,31852300.0
2020-05-07,215.02,215.02,215.9,38624800.0
2020-05-06,212.67,212.28,214.26,36455200.0
2020-05-05,210.77,210.99,213.39,37783100.0
2020-05-04,204.98,208.62,208.84,32841000.0
2020-05-01,207.92,206.22,210.03,48795000.0
2020-04-30,213.21,212.2,213.29,43359500.0
2020-04-29,209.56,212.28,213.22,48716400.0
2020-04-28,210.66,205.01,210.66,46862800.0
2020-04-27,209.56,208.95,209.99,36451700.0
2020-04-24,204.5,207.28,207.73,34231900.0
2020-04-23,205.3,204.06,207.86,43278500.0
2020-04-22,202.69,204.5,205.84,40089100.0
2020-04-21,204.14,198.61,204.68,72932800.0
2020-04-20,206.82,206.22,209.26,38249100.0
2020-04-17,209.54,208.69,209.87,62863200.0
2020-04-16,205.2,206.71,207.8,64657400.0
2020-04-15,202.09,203.01,205.33,47036000.0
